channel,context,test,source,target,minimum_family_adjusted_p,maximum_absolute_effect,significant_cells,tested_cells
endpoint_log_sd,baseline,effect,PVC,RMD,1.0,0.0108866831287741,0,24
endpoint_log_sd,baseline,effect,ADA,PVQ,1.0,0.010881770402193,0,24
endpoint_mean,baseline,lag_minus_1,PVW,ASH,1.0,0.0108791533857584,0,18
endpoint_log_sd,baseline,effect,PHC,RIP,1.0,0.010872189886868,0,24
endpoint_log_sd,baseline,lag_minus_1,SMB,RID,1.0,0.0108716916292905,0,18
endpoint_log_sd,baseline,effect,PVW,DVB,1.0,0.010869855992496,0,24
endpoint_log_sd,baseline,effect,CEP,AVH,1.0,0.0108695402741432,0,24
endpoint_log_sd,onset_minus_baseline,effect,PVQ,FLP,1.0,0.0108630685135722,0,24
endpoint_mean,baseline,lag_minus_1,AIA,RIB,1.0,0.0108546772971749,0,18
endpoint_mean,baseline,lag_minus_1,SMB,ASG,1.0,0.0108523797243833,0,18
endpoint_mean,baseline,lag_minus_1,DVC,AWA,1.0,0.0108508570119738,0,18
endpoint_log_sd,baseline,effect,IL2,PVW,1.0,0.010838646441698,0,24
endpoint_mean,baseline,lag_minus_1,IL2,OLL,1.0,0.0108368042856454,0,18
endpoint_mean,baseline,lag_minus_1,PVT,ADF,1.0,0.0108358887955546,0,18
endpoint_mean,baseline,lag_minus_1,ADE,RMH,1.0,0.0108293471857905,0,18
endpoint_mean,onset_minus_baseline,lag_minus_1,PVQ,PLN,1.0,0.0108275124803185,0,18
endpoint_log_sd,baseline,lag_minus_1,DVB,RIR,1.0,0.0108182523399591,0,18
endpoint_mean,onset_minus_baseline,effect,CEP,PVT,1.0,0.010816415771842,0,24
endpoint_mean,onset_minus_baseline,effect,PVW,ASE,1.0,0.0108152274042367,0,24
