law,delta,generator_id,model_name,method,metric_id,median,q25,q75,n
clean,0.12,g2_covariance,flow_matching_gaussian_source,signed_classifier,witness_nrmse,0.6850356862582789,0.6177329688497123,0.8005193001754283,8
clean,0.12,g2_covariance,flow_matching_gaussian_source,signed_riesz_dictionary,channel_readout_nrmse,4.49284224284256,4.127382973974184,5.199655340100626,8
clean,0.12,g2_covariance,flow_matching_gaussian_source,signed_riesz_dictionary,witness_nrmse,4.9171088077662475,4.775739435447121,4.970646550259811,8
clean,0.12,g2_covariance,gaussian_dsm,central_model_log_ratio,channel_readout_nrmse,0.7646836965201083,0.7420407732732216,0.8153328518248443,8
clean,0.12,g2_covariance,gaussian_dsm,central_model_log_ratio,witness_nrmse,0.7973388273385935,0.7118768586645182,0.8237712088586283,8
clean,0.12,g2_covariance,gaussian_dsm,direct_coupled_samples,channel_readout_nrmse,0.6265227513921665,0.580482060420982,0.6845376844314466,8
clean,0.12,g2_covariance,gaussian_dsm,history_tangent_finite_target,channel_readout_nrmse,0.7673323096564155,0.7461933866306224,0.8186088247651425,8
clean,0.12,g2_covariance,gaussian_dsm,history_tangent_finite_target,witness_nrmse,0.7991593374800137,0.7135681458457297,0.8247945554428471,8
clean,0.12,g2_covariance,gaussian_dsm,signed_classifier,channel_readout_nrmse,0.6560188319186046,0.6401878422119143,0.6699073995962714,8
clean,0.12,g2_covariance,gaussian_dsm,signed_classifier,witness_nrmse,0.750484290947371,0.7115313099002059,0.8160998980097968,8
clean,0.12,g2_covariance,gaussian_dsm,signed_riesz_dictionary,channel_readout_nrmse,4.357981032304831,3.8907297314335287,5.124663467433279,8
clean,0.12,g2_covariance,gaussian_dsm,signed_riesz_dictionary,witness_nrmse,4.120723753697998,3.7800747221043896,4.575701941744521,8
clean,0.12,g2_covariance,gaussian_nll,central_model_log_ratio,channel_readout_nrmse,0.7347951895213802,0.685656407875596,0.8390741216656318,8
clean,0.12,g2_covariance,gaussian_nll,central_model_log_ratio,witness_nrmse,0.7590982617982114,0.6811564145926634,0.8712232448934573,8
clean,0.12,g2_covariance,gaussian_nll,direct_coupled_samples,channel_readout_nrmse,0.5900525662298823,0.479298966899475,0.609156867441449,8
clean,0.12,g2_covariance,gaussian_nll,history_tangent_finite_target,channel_readout_nrmse,0.7383105042911453,0.687399902991551,0.8424958277521649,8
clean,0.12,g2_covariance,gaussian_nll,history_tangent_finite_target,witness_nrmse,0.7603661220430692,0.6821894282289627,0.8723392827867582,8
clean,0.12,g2_covariance,gaussian_nll,signed_classifier,channel_readout_nrmse,0.5859100062820207,0.5581643721682876,0.6187838523754554,8
clean,0.12,g2_covariance,gaussian_nll,signed_classifier,witness_nrmse,0.7306756345676927,0.6694818042122952,0.8008309011833569,8
clean,0.12,g2_covariance,gaussian_nll,signed_riesz_dictionary,channel_readout_nrmse,3.967561163911843,3.6134257060796884,4.263635901071961,8
clean,0.12,g2_covariance,gaussian_nll,signed_riesz_dictionary,witness_nrmse,3.8881022708452067,3.54556673631895,4.266473298753481,8
clean,0.12,g2_covariance,mean,direct_coupled_samples,channel_readout_nrmse,0.5753309237831092,0.4633208251024479,0.6368928165446534,8
clean,0.12,g2_covariance,mean,signed_classifier,channel_readout_nrmse,0.6059184490138831,0.5718321235174679,0.666608940388741,8
clean,0.12,g2_covariance,mean,signed_classifier,witness_nrmse,0.7236272017497087,0.6548741524665562,0.814800021118058,8
