fold,phase,lag,source,target,horizon,contrast_fraction,steps_factor,effect_mean,effect_sd,gap_mean,valid_fraction
0,baseline,1,ADE,AIY,4,1.0,1,0.15021837751070652,0.01313150952939957,0.5481003721555074,1.0
0,baseline,1,ADE,AIY,4,1.0,2,0.21501057346661887,0.08334341511428338,0.5426829755306244,1.0
0,baseline,1,ADE,AIY,8,1.0,1,0.10978881269693375,0.03212140061911204,0.5481003721555074,1.0
0,baseline,1,ADE,AIY,8,1.0,2,0.1770706077416738,0.09409335703778438,0.5426829755306244,1.0
0,baseline,1,ADE,AIY,16,1.0,1,0.063832686903576,0.05668006066440555,0.5481003721555074,1.0
0,baseline,1,ADE,AIY,16,1.0,2,0.123510489531327,0.11309409359213324,0.5426829755306244,1.0
0,baseline,1,ADE,AIY,32,1.0,1,0.015365600585937467,0.09356750000855525,0.5481003721555074,1.0
0,baseline,1,ADE,AIY,32,1.0,2,0.050616530080636345,0.1556859183031509,0.5426829755306244,1.0
0,baseline,1,ADE,AIZ,1,1.0,1,-0.0569637573789805,0.07732844077166298,0.5481003721555074,1.0
0,baseline,1,ADE,AIZ,1,1.0,2,-0.03390083524088063,0.08449458646228808,0.5426829755306244,1.0
0,baseline,1,ADE,AIZ,2,1.0,1,-0.058640980006506034,0.08576052742329035,0.5481003721555074,1.0
0,baseline,1,ADE,AIZ,2,1.0,2,-0.03699819122751553,0.09341287957783527,0.5426829755306244,1.0
0,baseline,1,ADE,AIZ,4,1.0,1,-0.04277638842662173,0.08392589289316708,0.5481003721555074,1.0
0,baseline,1,ADE,AIZ,4,1.0,2,-0.026305090597209802,0.0911364073239598,0.5426829755306244,1.0
0,baseline,1,ADE,AIZ,8,1.0,1,-0.0372969669600328,0.0951624645896713,0.5481003721555074,1.0
0,baseline,1,ADE,AIZ,8,1.0,2,-0.029683912638574866,0.09052329028198247,0.5426829755306244,1.0
0,baseline,1,ADE,AIZ,16,1.0,1,-0.011959137860685564,0.09937714861805723,0.5481003721555074,1.0
0,baseline,1,ADE,AIZ,16,1.0,2,-0.004528895020484934,0.08753229265870009,0.5426829755306244,1.0
0,baseline,1,ADE,AIZ,32,1.0,1,0.0234024239083131,0.0900585097064359,0.5481003721555074,1.0
0,baseline,1,ADE,AIZ,32,1.0,2,0.0401751607035597,0.05222147464333138,0.5426829755306244,1.0
0,baseline,1,ADE,ALA,1,1.0,1,0.0611553912361463,0.17788756112117302,0.5481003721555074,1.0
